ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
508,N/A,01,100B01-EE-EML-B1.FL-001,,100B-EML-BFL-001,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.01",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
509,N/A,02,100B01-EE-EML-B1.FL-002,,100B-EML-BFL-002,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.02",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
510,N/A,03,100B01-EE-EML-B1.FL-003,,100B-EML-BFL-003,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.03",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
511,N/A,04,100B01-EE-EML-B1.FL-004,,100B-EML-BFL-004,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.04",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
512,N/A,05,100B01-EE-EML-B1.FL-005,,100B-EML-BFL-005,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.05",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
513,N/A,06,100B01-EE-EML-B1.FL-006,,100B-EML-BFL-006,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.06",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
514,N/A,07,100B01-EE-EML-B1.FL-007,,100B-EML-BFL-007,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.07",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
515,N/A,08,100B01-EE-EML-B1.FL-008,,100B-EML-BFL-008,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.08",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
516,N/A,09,100B01-EE-EML-B1.FL-009,,100B-EML-BFL-009,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.09",,FL.B,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
517,N/A,10,100B01-EE-EML-1.FL-001,,100B-EML-1FL-001,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.10",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
518,N/A,11,100B01-EE-EML-1.FL-002,,100B-EML-1FL-002,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.11",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
519,N/A,12,100B01-EE-EML-1.FL-003,,100B-EML-1FL-003,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.12",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
520,N/A,13,100B01-EE-EML-1.FL-004,,100B-EML-1FL-004,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.13",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
521,N/A,14,100B01-EE-EML-1.FL-005,,100B-EML-1FL-005,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.14",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
522,N/A,15,100B01-EE-EML-1.FL-006,,100B-EML-1FL-006,,,"Emergency Light",,,,,,,,,"EMERGENCY LIGHT REMOTE LAMP No.15",,FL.1,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
