ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,B/L Acumulate Depreciate,B/L Asset Value,AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,Coset Center Description,CostType,Company,Department,TotalExpense,LastSync,Update By,Update Date,Update Remark,TotalTask,
2364,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0001,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.1,,ST1 (บันไดกลาง Zone B) FL12 ลง FL11,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2365,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0002,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.2,,ST1 (บันไดกลาง Zone B) FL11 ลง 10,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2366,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0003,,,24032203186,,Emergency Light,,,,,,,,,Emergency Light ST1 No.3,,ST1 (บันไดกลาง Zone B) FL10 ลง 9,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2367,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0004,,,,,Emergency Light,,,,,,,,,Emergency Light ST1 No.4,,ST1 (บันไดกลาง Zone B) FL9 ลง 8,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2368,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0005,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.5,,ST1 (บันไดกลาง Zone B) FL8 ลง 7M,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2369,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0006,,,24032203154,,Emergency Light,,,,,,,,,Emergency Light ST1 No.6,,ST1 (บันไดกลาง Zone B) FL8 ลง 7M,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2370,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0007,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.7,,ST1 (บันไดกลาง Zone B) FL7M ลง 6,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2371,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0008,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.8,,ST1 (บันไดกลาง Zone B) FL6 ลง 5,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2372,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0009,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.9,,ST1 (บันไดกลาง Zone B) FL5 ลง 4,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
2373,DELIGHT,DLEM-209L2ATRT,400B01-EE-EML-ST1-0010,,,22032201,,Emergency Light,,,,,,,,,Emergency Light ST1 No.10,,ST1 (บันไดกลาง Zone B) - FL4 ลง 3,In Use,,,14-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-ST1,โรงพยาบาล 400B - บันไดหนีไฟ1,,,,,,,,,,CRA,,,,arthonye,23-06-24,,0,-
