ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
5405,,,400B03-FP-FEDC-1.FL-0001,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5406,,,400B03-FP-FEDC-1.FL-0002,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5407,,,400B03-FP-FEDC-1.FL-0003,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5408,,,400B03-FP-FEDC-1.FL-0004,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5409,,,400B03-FP-FEDC-1.FL-0005,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5410,,,400B03-FP-FEDC-1.FL-0006,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5411,,,400B03-FP-FEDC-1.FL-0007,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5412,,,400B03-FP-FEDC-1.FL-0008,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5413,,,400B03-FP-FEDC-1.FL-0009,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
5414,,,400B03-FP-FEDC-1.FL-0010,,,,,"Fire Extinguisher Dry Chemical",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
