ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
4610,,,400B03-FP-FHC-1.FL-0001,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4611,,,400B03-FP-FHC-1.FL-0002,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4612,,,400B03-FP-FHC-1.FL-0003,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4613,,,400B03-FP-FHC-1.FL-0004,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4614,,,400B03-FP-FHC-1.FL-0005,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4615,,,400B03-FP-FHC-1.FL-0006,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4616,,,400B03-FP-FHC-1.FL-0007,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4617,,,400B03-FP-FHC-1.FL-0008,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4618,,,400B03-FP-FHC-1.FL-0009,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4619,,,400B03-FP-FHC-1.FL-0010,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
4620,,,400B03-FP-FHC-1.FL-0011,,,,,"Fire Hose Cabinet",,,,,,,,,,,,"In Use",,,2024-07-02,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-02,,0,-
