ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,B/L Acumulate Depreciate,B/L Asset Value,AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,Coset Center Description,CostType,Company,Department,TotalExpense,LastSync,Update By,Update Date,Update Remark,TotalTask,
2884,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0001,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.1,,ห้องควบคุมระบบแจ้งเหตุเพลิงไหมั - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2885,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0002,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.2,,โถงลิฟท์ ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2886,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0003,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.3,,ห้องควบคุมความปลอดภัย - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2887,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0004,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.4,,ห้องน้ำชาย  ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2888,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0005,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.5,,ห้องน้ำคนพิการ  ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2889,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0006,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.6,,ห้องน้ำหญิง  ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2890,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0007,,,18032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.7,,โถงลิฟท์ดับเพลิง ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2891,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0008,,,21032201,,Emergency Light,,,,,,,,,Emergency Light FL1 No.8,,ห้องสื่อสาร  ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2892,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0009,,,24032203012,,Emergency Light,,,,,,,,,Emergency Light FL1 No.9,,ห้องไฟฟ้า  ZONE A - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
2893,DELIGHT,DLEM-209L2ATRT,400B02-EE-EML-1.FL-0010,,,24032203103,,Emergency Light,,,,,,,,,Emergency Light FL1 No.10,,ห้องสื่อสาร  ZONE A ตัวที่ 2 - ชั้น 1,In Use,,,23-06-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,วิทยาลัย 400B-ชั้น1,,,,,,,,,,CRA,,,,Nattapon,23-06-24,,0,-
