ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
7636,,"CFEB-20 (T)",400B03-HVAC-FCU-1.FL-0001,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F01-ห้องหม้อแปลงไฟฟ้า","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7637,,"CFEB-20 (T)",400B03-HVAC-FCU-1.FL-0002,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F02-ห้องหม้อแปลงไฟฟ้า","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7638,,"CFEB-20 (T)",400B03-HVAC-FCU-1.FL-0003,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F03(ST.BY)-ห้องหม้อแปลงไฟฟ้า","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7639,,"CFEB-14 (T)",400B03-HVAC-FCU-1.FL-0004,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F04-ห้องเสื้อผ้า","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7640,,"CFEB-14 (T)",400B03-HVAC-FCU-1.FL-0005,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F05-ห้องเสื้อผ้า","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7641,,HFCA-12-4R,400B03-HVAC-FCU-1.FL-0006,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F06-สำนักงาน","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7642,,HFCD-14,400B03-HVAC-FCU-1.FL-0007,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F07-ห้องรับรอง","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
7643,,HFCD-14,400B03-HVAC-FCU-1.FL-0008,,,,,"Fan Coil Unit",,,,,,,,,,,"ชั้น 1|03-1F08-ห้องรับรอง","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
9390,KRUGER," FSA 200 6P",400B03-HVAC-EAF-1.FL-0001,,,,,"Exhaust Air Fan",,,,,,,,,,,"ชั้น 1|03-1EAF01-ห้องพักขยะ","In Use",,,2024-07-04,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-04,,0,undefined
9391,KRUGER," FSA 200 6P",400B03-HVAC-EAF-1.FL-0002,,,,,"Exhaust Air Fan",,,,,,,,,,,"ชั้น 1|03-1EAF02-ห้องไฟฟ้า","In Use",,,2024-07-04,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-04,,0,undefined
9392,KRUGER," APL 400 4P-1 1S",400B03-HVAC-EAF-1.FL-0003,,,,,"Exhaust Air Fan",,,,,,,,,,,"ชั้น 1|03-1EAF03-ห้องจดหมาย","In Use",,,2024-07-04,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-04,,0,undefined
9393,KRUGER,"TDA 450/12AA/5-5/16/PAGAS/L",400B03-HVAC-EAF-1.FL-0004,,,,,"Exhaust Air Fan",,,,,,,,,,,"ชั้น 1|03-1EAF04-ห้องเครื่องกำเนิดไฟฟ้า","In Use",,,2024-07-04,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-04,,0,undefined
9394,KRUGER,"FSA 250 6P (SUPPORT)",400B03-HVAC-EAF-1.FL-0005,,,,,"Exhaust Air Fan",,,,,,,,,,,"ชั้น 1|03-1EAF05-ห้อง HV.R","In Use",,,2024-07-04,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-04,,0,undefined
9395,KRUGER," FSA 225 6P",400B03-HVAC-EAF-1.FL-0006,,,,,"Exhaust Air Fan",,,,,,,,,,,"ชั้น 1|03-1EAF06-ห้อง HV.L","In Use",,,2024-07-04,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B03-F1,"หอพักฯ 400B-ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-04,,0,undefined
