ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
5716,DELIGHT,DLCU-401S20,400B01-EE-EMLC-8.FL.0001,,,706226001,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.1",,"ห้องไฟฟ้ากำลัง Shaft 8B - ชั้น 8B","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F8,"โรงพยาบาล 400B - ชั้น 8",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5717,DELIGHT,DLCU-801S20,400B01-EE-EMLC-1.FL.0001,,,1104226001,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.2",,"ห้องไฟฟ้ากำลัง Zone A - ชั้น 1A","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,"โรงพยาบาล 400B - ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5718,DELIGHT,DLCU-801S20,400B01-EE-EMLC-1.FL.0002,,,1104226011,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.3",,"ห้องไฟฟ้ากำลัง Zone B - ชั้น 1B","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,"โรงพยาบาล 400B - ชั้น 1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5719,DELIGHT,DLCU-601S20,400B01-EE-EMLC-2.FL.0001,,,1103226002,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.4",,"ห้องไฟฟ้า - ชั้น 2A","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F2,"โรงพยาบาล 400B - ชั้น 2",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5720,DELIGHT,DLCU-501S20,400B01-EE-EMLC-2.FL.0002,,,1104226002,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.5",,"ห้องไฟฟ้า - ชั้น 2B","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F2,"โรงพยาบาล 400B - ชั้น 2",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5721,DELIGHT,DLCU-401S20,400B01-EE-EMLC-3.FL.0001,,,1103226011,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.6",,"ห้องไฟฟ้ากำลัง Zone B - ชั้น 3B","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F3,"โรงพยาบาล 400B - ชั้น 3",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5722,DELIGHT,DLCU-501S20,400B01-EE-EMLC-3.FL.0002,,,706226001,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.7",,"ห้องไฟฟ้ากำลัง Zone A - ชั้น 3A","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F3,"โรงพยาบาล 400B - ชั้น 3",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5723,DELIGHT,DLCU-501S20,400B01-EE-EMLC-4.FL.0001,,,1104226007,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.8",,"ห้องไฟฟ้า - ชั้น 4A","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F4,"โรงพยาบาล 400B - ชั้น 4",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5724,DELIGHT,DLCU-401S20,400B01-EE-EMLC-4.FL.0002,,,1103226006,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.9",,"ห้องไฟฟ้ากำลัง Zone B - ชั้น 4B","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F4,"โรงพยาบาล 400B - ชั้น 4",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
5725,DELIGHT,DLCU-401S20,400B02-EE-EMLC-1.FL.0001,,,1103226012,,"Central Emergency Light",,,,,,,,,"Central Emergency Light No.10",,"ห้องไฟฟ้ากำลัง อาคาร B ชั้น 1 ฝั่งไปรษณีย์ - ชั้น 1 อาคาร B","In Use",,,2024-07-03,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B02-F1,"วิทยาลัย 400B-ชั้น1",,,,,,,,,,CRA,,,,Nattapon,2024-07-03,,0,-
