ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
1082,N/A,01,100B01-HVAC-HEX-B1.FL-001,,100B-HX-BFL-001,,,"Heat Exchanger",,,,,,,,,"HEAT EXCHANGE No.01",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1083,N/A,02,100B01-HVAC-HEX-B1.FL-002,,100B-HX-BFL-002,,,"Heat Exchanger",,,,,,,,,"HEAT EXCHANGE No.02",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1084,N/A,03,100B01-HVAC-HEX-B1.FL-003,,100B-HX-BFL-003,,,"Heat Exchanger",,,,,,,,,"HEAT EXCHANGE No.03",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1095,CARRIER,42CH008W3R0,100B01-HVAC-FCU-B1.FL-001,,100B-FCU-BFL-001,44VD1402261,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.01 CAPACITY 25,350 BTU ห้อง MEETING ROOM",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1096,CARRIER,42CH006BWR0,100B01-HVAC-FCU-B1.FL-002,,100B-FCU-BFL-002,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.02 CAPACITY 20,270 BTU ห้อง STAFF",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1097,CARRIER,N/A,100B01-HVAC-FCU-B1.FL-003,,100B-FCU-BFL-003,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.03 โถงทางเดิน TREATMENT ROOM",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1098,CARRIER,N/A,100B01-HVAC-FCU-B1.FL-004,,100B-FCU-BFL-004,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.04 ห้อง HOTLAB",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1099,DAIKIN,N/A,100B01-HVAC-FCU-B1.FL-005,,100B-FCU-BFL-005,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.05 ระบบ VRV ห้อง HOTLAB 4 ทิศทาง",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1100,N/A,N/A,100B01-HVAC-FCU-B1.FL-006,,100B-FCU-BF-006,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.06 ห้องประชุม",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1101,CARRIER,N/A,100B01-HVAC-FCU-B1.FL-007,,100B-FCU-BFL-007,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.07 ห้องให้คำปรึกษา ห้องที่ 1",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
