ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
868,N/A,01,100B01-SN-WWT-1.FL-001,,100B-TSP-1FL-001,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.01 EQ.TANK",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
869,N/A,02,100B01-SN-WWT-1.FL-002,,100B-TSP-1FL-002,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.02 EQ.TANK",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
870,N/A,03,100B01-SN-WWT-1.FL-003,,100B-TSP-1FL-003,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.03 SLUDGE TANK",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
871,N/A,04,100B01-SN-WWT-1.FL-004,,100B-TSP-1FL-004,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.04 SLUDGE TANK",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
872,N/A,05,100B01-SN-WWT-1.FL-005,,100B-TSP-1FL-005,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.04 CLEAR WELL",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
873,N/A,06,100B01-SN-WWT-1.FL-006,,100B-TSP-1FL-006,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.06 CLEAR WELL",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
874,N/A,07,100B01-SN-WWT-1.FL-007,,100B-TSP-1FL-007,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.07 SUMP TANK",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
875,N/A,08,100B01-SN-WWT-1.FL-008,,100B-TSP-1FL-008,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.08 SUMP TANK",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
876,N/A,09,100B01-SN-WWT-1.FL-009,,100B-TSP-1FL-009,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.09 SUMP",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
877,N/A,10,100B01-SN-WWT-1.FL-010,,100B-TSP-1FL-010,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.10 SUMP",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
