ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
1453,N/A,N/A,100B04-EE-RMU-1.FL-001,,100B-RMU-1FL-001,,,"Ring Main Unit",,,,,,,,,"Ring main unit 001",,"FL.1 OUT DOOR BUILDING","In Use",,,2022-10-04,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B04-F1,"ข้าราชบริพาร (100BED)- ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
364,"Thai Trafro",01,100B04-EE-TRD-1.FL-001,,100B-TR-1FL-001,60082,,"Dry Transformer",,,,,,,,,"Transformer No.1 Oil Type CAPACITY 2000kVA","2000 kVA","FL.1 OUTDOOR BUILDING","In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B04-F1,"ข้าราชบริพาร (100BED)- ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
365,"Thai Trafro",02,100B04-EE-TRD-1.FL-002,,100B-TR-1FL-002,60083,,"Dry Transformer",,,,,,,,,"Transformer No.2 Oil Type CAPACITY 2000 kVA","2000 kVA","FL.1 OUT DOOR BUILDING","In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B04-F1,"ข้าราชบริพาร (100BED)- ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
500,MITSUBISHI,S12R-PTA,100B03-EE-GEN-1.FL-001,,100B-GEN-1FL-001,12470,,"Generator Set",,,,,,,,,"Generator Set No.01","1080 kW / 1500 r/min",ห้องเครื่องกำเนิดไฟฟ้าสำรอง,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,ห้องช่างอาคาร,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
501,MITSUBISHI,S12R-PTA,100B03-EE-GEN-1.FL-002,,100B-GEN-1FL-002,12471,,"Generator Set",,,,,,,,,"Generator Set No.02","1080 kW / 1500 r/min",ห้องเครื่องกำเนิดไฟฟ้า,"In Use",,,2022-08-22,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,ห้องช่างอาคาร,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
366,SIEMENS,01,100B03-EE-MDB-1.FL-001,,100B-MDB-1FL-001,FL.1,,"Main Distribution Board",,,,,,,,,"ACB 3P 3000AT/3200AF D/O",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
367,SIEMENS,02,100B03-EE-MDB-1.FL-002,,100B-MDB-1FL-002,FL.1,,"Main Distribution Board",,,,,,,,,"ACB 3P 3000 AT/3200AF D/O",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1789,N/A,"MDB-D (อาคารที่พักและลานจอด)",100B02-EE-MDB-1.FL-003,,100B-MDB-1FL-003(Dorm),,,"Main Distribution Board",,,,,,,,,"MDB-D (อาคารที่พักและลานจอด)",,ห้องไฟฟ้าอาคารหอพักและลานจอด,"In Use",,,,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B02-F1,"หอพักฯ 100B-ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
368,N/A,01,100B03-EE-EMDB-1.FL-001,,100B-EMDB-1FL-001,FL.1,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY MAIN DISTRIBUTION BOARD No.01",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
369,N/A,02,100B03-EE-EMDB-1.FL-002,,100B-EMDB-1FL-002,FL.1,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY MAIN DISTRIBUTION BOARD No.02",,FL.1,"In Use",,,2022-08-09,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
380,SIEMENS,01,100B01-EE-EMDB-1.FL-001,,100B-EDB-1FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.01 (EDB.M1) MCC 3P,400AT/630AF",,FL.1,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
381,SIEMENS,02,100B01-EE-EMDB-1.FL-002,,100B-EDB-1FL-002,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.02 (EDM.M2) MCCB 3P,400AT/630AF",,FL.1,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
382,SIEMENS,03,100B01-EE-EMDB-1.FL-003,,100B-EDB-1FL-003,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.3 (EDB.A1) MCCB 3P,150AT/160AF",,FL.1,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
383,SIEMENS,04,100B01-EE-EMDB-5.FL-001.1,,100B-EDB-5FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENGY DISTRIBUTION BOARD No.04 (EDB.P4) MCCB 3P,150AT/160AF",,FL.5,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
384,SIEMENS,05,100B01-EE-EMDB-B1.FL-001,,100B-EDB-BFL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.05 (EDB.PB-1) MCCB 3P,400AT/400AF",,FL.B,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
385,SIEMENS,06,100B01-EE-EMDB-B1.FL-002,,100B-EDB-BFL-002,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.06 (EDB.PB-2) MCCB 3P,400AT/400AF",,FL.B,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
386,SIEMENS,07,100B01-EE-EMDB-3.FL-001,,100B-EDB-3FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.07 (EDB.2) MCCB,3P,250AT/400AF",,FL.3,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F3,"โรงพยาบาล 100B - ชั้น 3",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
387,SIEMENS,08,100B01-EE-EMDB-4.FL-001,,100B-EDB-4FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.08 (EDB.A3) MCCB 3P,100AT/160AF",,FL.4,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
388,SIEMENS,09,100B01-EE-EMDB-4.FL-002,,100B-EDB-4FL-002,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.09 (EDB.P3-1) MCCB 3P,400AT/400AF",,FL.4,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
389,SIEMENS,10,100B01-EE-EMDB-4.FL-003,,100B-EDB-4FL-003,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.10 (EDB.P3-2) MCCB 3P,400AT/400AF",,FL.4,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
390,SIEMENS,11,100B01-EE-EMDB-5.FL-001,,100B-EDB-5FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.11 (EDB.4) MCCB 3P,150AT/160AF",,FL.5,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
391,SIEMENS,12,100B01-EE-EMDB-6.FL-001,,100B-EDB-6FL-001,,,"Emergency Main Distribution Board",,,,,,,,,"EMERGENCY DISTRIBUTION BOARD No.12 ( EDB.A5) MCCB 3P,150AT/160AF",,FL.6,"In Use",,,2022-08-15,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
