ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
795,CLARKE,JU6H-UF84,100B01-FP-DFP-B1.FL-001,,100B-FP-BFL-001,PF606SH506970,,"Diesel Engine Fire Pump",,,,,,,,,"Engine Fire pump No.01",1250GPM,FL.B,"In Use",Lift,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
796,N/A,01,100B01-FP-JP-B1.FL-001,,100B-JP-BFL-001,,,"Jockey Pump",,,,,,,,,"Jockey Pump No.01",,FL.B,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
797,N/A,01,100B01-FP-FHC-B1.FL-001,,100B-FHC-BFL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.01",,FL.B,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
798,N/A,02,100B01-FP-FHC-B1.FL-002,,100B-FHC-BFL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.02",,FL.B,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
799,N/A,03,100B01-FP-FHC-B1.FL-003,,100B-FHC-BFL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.03",,FL.B,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
800,N/A,04,100B01-FP-FHC-B1.FL-004,,100B-FHC-BFL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.04",,FL.B,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
801,N/A,05,100B01-FP-FHC-1.FL-001,,100B-FHC-1FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.05",,FL.1,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
802,N/A,06,100B01-FP-FHC-1.FL-002,,100B-FHC-1FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.06",,FL.1,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
805,N/A,09,100B01-FP-FHC-2.FL-001,,100B-FHC-2FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.09",,FL.2,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
806,N/A,10,100B01-FP-FHC-2.FL-002,,100B-FHC-2FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.10",,FL.2,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
807,N/A,11,100B01-FP-FHC-2.FL-003,,100B-FHC-2FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.11",,FL.2,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
808,N/A,12,100B01-FP-FHC-2.FL-004,,100B-FHC-2FL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.12",,FL.2,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F2,"โรงพยาบาล 100B - ชั้น 2",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
809,N/A,13,100B01-FP-FHC-3.FL-001,,100B-FCH-3FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.13",,FL.3,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F3,"โรงพยาบาล 100B - ชั้น 3",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
810,N/A,14,100B01-FP-FHC-3.FL-006,,100B-FHC-3FL-006,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.14",,FL.3,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F3,"โรงพยาบาล 100B - ชั้น 3",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
811,N/A,15,100B01-FP-FHC-3.FL-007,,100B-FHC-3FL-007,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.15",,FL.3,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F3,"โรงพยาบาล 100B - ชั้น 3",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
803,N/A,07,100B01-FP-FHC-M.FL-001,,100B-FHC-MFL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.07",,FL.M,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
804,N/A,08,100B01-FP-FHC-M.FL-002,,100B-FHC-MFL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.08",,FL.M,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FM,"โรงพยาบาล 100B - ชั้น M",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
812,N/A,16,100B01-FP-FHC-4.FL-001,,100B-FHC-4FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.16",,FL.4,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
813,N/A,17,100B01-FP-FHC-4.FL-002,,100B-FHC-4FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.17",,FL.4,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
814,N/A,18,100B01-FP-FHC-4.FL-003,,100B-FHC-4FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.18",,FL.4,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
815,N/A,19,100B01-FP-FHC-4.FL-004,,100B-FHC-4FL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.19",,FL.4,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F4,"โรงพยาบาล 100B - ชั้น 4",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
816,N/A,20,100B01-FP-FHC-5.FL-001,,100B-FHC-5FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.20",,FL.5,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
817,N/A,21,100B01-FP-FHC-5.FL-002,,100B-FHC-5FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.21",,FL.5,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
818,N/A,22,100B01-FP-FHC-5.FL-003,,100B-FHC-5FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.22",,FL.5,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
819,N/A,23,100B01-FP-FHC-5.FL-004,,100B-FHC-5FL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.23",,FL.5,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F5,"โรงพยาบาล 100B - ชั้น 5",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
820,N/A,24,100B01-FP-FHC-6.FL-001,,100B-FHC-6Fl-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.24",,FL.6,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
821,N/A,25,100B01-FP-FHC-6.FL-002,,100B-FHC-6FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.25",,FL.6,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
822,N/A,26,100B01-FP-FHC-6.FL-003,,100B-FHC-6FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.26",,FL.6,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
823,N/A,27,100B01-FP-FHC-6.FL-004,,100B-FHC-6FL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.27",,FL.6,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
824,N/A,28,100B01-FP-FHC-6.FL-005,,100B-FHC-6FL-005,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.28",,FL.6,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
825,N/A,29,100B01-FP-FHC-6.FL-006,,100B-FHC-6Fl-006,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.29",,FL.6,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F6,"โรงพยาบาล 100B - ชั้น 6",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
