ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
1456,HITACHI,"LF.1 Fire man",100B01-ME-EL-RF.FL-001,,100B-Elevator-RFL-LF1,,,"Elevator Lift",,,,,,,,,"ELEVATOR LF.1","Fire man (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1457,HITACHI,LP.1,100B01-ME-EL-RF.FL-002,,100B-Elevator-RFL-LP1,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.1","Passenger (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1458,HITACHI,LP.2,100B01-ME-EL-RF.FL-003,,100B-Elevator-RFL-LP2,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.2","Passenger (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1459,HITACHI,LP.3,100B01-ME-EL-RF.FL-004,,100B-Elevator-RFL-LP3,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.3","Passenger (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1460,HITACHI,LP.4,100B01-ME-EL-RF.FL-005,,100B-Elevator-RFL-LP4,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.4","Passenger (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1461,HITACHI,LP.5,100B01-ME-EL-RF.FL-006,,100B-Elevator-RFL-LP5,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.5","Royal Lift (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1462,HITACHI,LP.6,100B01-ME-EL-RF.FL-007,,100B-Elevator-RFL-LP6,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.6","Bed Lift (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-05,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1463,HITACHI,LP.7,100B01-ME-EL-RF.FL-008,,100B-Elevator-RFL-LP7,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.7","Bed Lift (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-06,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1464,HITACHI,LP.8,100B01-ME-EL-RF.FL-009,,100B-Elevator-RFL-LP8,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.8","Bed Lift (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-06,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1465,HITACHI,LP.9,100B03-ME-EL-1.FL-009,,100B-Elevator-RFL-LP9,,,"Elevator Lift",,,,,,,,,"ELEVATOR LP.9","Passenger (อาคารบริการ)",FL.RF,"In Use",,,2022-10-06,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B03-F1,บริการกลางชั้น1,,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1785,HITACHI,"EL-LP1 (Passenger)",100B01-ME-EL-RF.FL-LP1(Dorm),,100B-Elevator-RFL-LP1(Dorm),,,"Elevator Lift",,,,,,,,,"EL-LP1 (Passenger)","Passenger (หอพักและลานจอด)",FL.RF,"In Use",,,,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1786,HITACHI,"EL-LP2 (Passenger)",100B01-ME-EL-RF.FL-LP12(Dorm),,100B-Elevator-RFL-LP2(Dorm),,,"Elevator Lift",,,,,,,,,"EL-LP2 (Passenger)","Passenger (หอพักและลานจอด)",FL.RF,"In Use",,,,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1787,HITACHI,"EL-LF-1 (Fire Man & Service)",100B01-ME-EL-RF.FL-LF1(Dorm),,100B-Elevator-RFL-LF1(Dorm),,,"Elevator Lift",,,,,,,,,"EL-LF-1 (Fire Man & Service)","Fire man (หอพักและลานจอด)",FL.RF,"In Use",,,,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1788,HITACHI,"EL-1 (Fire Man & Service)",100B04-ME-EL-1.FL-EL1(Royal),,100B-Elevator-RFL-EL1(Royal),,,"Elevator Lift",,,,,,,,,"EL-1 (Fire Man & Service)","Fire man (ข้าราชบริพาร)",FL.RF,"In Use",,,,,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B04-F1,"ข้าราชบริพาร (100BED)- ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1468,HITACHI,01,100B01-ME-ES-1.FL-001,,100B-Escalator-1FL-001,,,"Escalator ",,,,,,,,,"ESCALATOR No.01",,FL.1,"In Use",,,2022-10-07,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1469,HITACHI,02,100B01-ME-ES-1.FL-002,,100B-Escalator-1FL-002,,,"Escalator ",,,,,,,,,"ESCALATOR No.02",,FL.1,"In Use",,,2022-10-07,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1470,HITACHI,03,100B01-ME-ES-1.FL-003,,100B-Escalator-1FL-003,,,"Escalator ",,,,,,,,,"ESCALATOR No.03",,FL.1,"In Use",,,2022-10-07,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1471,HITACHI,04,100B01-ME-ES-1.FL-004,,100B-Escalator-1FL-004,,,"Escalator ",,,,,,,,,"ESCALATOR No.04",,FL.1,"In Use",,,2022-10-07,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1466,HITACHI,EL.1,100B01-ME-DT-RF.FL-001,,100B-Dumbwaiter-RFL-EL1,,,"Dumbwaiter Lift",,,,,,,,,"ELEVATOR EL.1","Dumbwaiter no.1 (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-06,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1467,HITACHI,EL.2,100B01-ME-DT-RF.FL-002,,100B-Dumbwaiter-RFL-EL2,,,"Dumbwaiter Lift",,,,,,,,,"ELEVATOR EL.2","Dumbwaiter no.2 (โรงพยาบาล)",FL.RF,"In Use",,,2022-10-06,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FRF,"โรงพยาบาล 100B - ชั้น RF",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
