AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B01-EE-EML-B1.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.01,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.02,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.03,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.04,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.05,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.06,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.07,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.08,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.09,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0010,,,Emergency Light,,,,,,,,,Emergency Light No.10,,ชั้น B1 | Ramp ทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0011,,,Emergency Light,,,,,,,,,Emergency Light No.11,,ชั้น B1 | ทางเดินด้านหลัง,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0012,,,Emergency Light,,,,,,,,,Emergency Light No.12,,ชั้น B1 | หน้าห้องน้ำ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0013,,,Emergency Light,,,,,,,,,Emergency Light No.13,,ชั้น B1 | ทางเดินข้างห้องน้ำ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0014,,,Emergency Light,,,,,,,,,Emergency Light No.14,,ชั้น B1 | ทางเดินหน้าห้องน้ำ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0015,,,Emergency Light,,,,,,,,,Emergency Light No.15,,ชั้น B1 | หน้า Lift ขนของ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EML-B1.FL-0016,,,Emergency Light,,,,,,,,,Emergency Light No.16,,ชั้น B1 | ทางเดินด้านหลัง,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
