AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B01-EE-EXL-B1.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.1,,ชั้น B1 | ทางเดินหน้าลิฟต์ LF1,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.2,,ชั้น B1 | หน้าห้องน้ำ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0003,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.3,,ชั้น B1 | หน้าลิฟต์ขนของ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0004,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.4,,ชั้น B1 | หน้าเคาท์เตอร์รังสี,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0005,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.5,,ชั้น B1 | ทางเดินหน้าห้องเทอร์โมตรอน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0006,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.6,,ชั้น B1 | หน้าห้องรักษาด้วยรังสี,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0007,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.7,,ชั้น B1 | เคาท์เตอร์เวชศาสตร์นิวเคลียร์,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0008,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.8,,ชั้น B1 | ห้องทานข้าว,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0009,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.9,,ชั้น B1 | หน้าห้อง STAFF,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
,,100B01-EE-EXL-B1.FL-0010,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.10,,ชั้น B1 | หน้าห้องคลีนิกสูงวัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
