AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B04-EE-EXL-1.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.1,,ชั้น 1 | หน้าประตูออโต้,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 1,,,,,,CRA,,,
,,100B04-EE-EXL-2.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.2,,ชั้น 2 | หน้าลิฟต์,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EXL-2.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.3,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EXL-2.FL-0003,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.4,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EXL-2.FL-0004,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.5,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EXL-2.FL-0005,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.6,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EXL-3.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.7,,ชั้น 3 | ศูนย์ตรวจสุขภาพ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EXL-3.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.8,,ชั้น 3 | ศูนย์ตรวจสุขภาพ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EXL-3.FL-0003,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.9,,ชั้น 3 | ศูนย์ตรวจสุขภาพ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EXL-3.FL-0004,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.10,,ชั้น 3 | ศูนย์ตรวจสุขภาพ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EXL-4.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.11,,ชั้น 4 | ห้องประชุม,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 4,,,,,,CRA,,,
,,100B04-EE-EXL-4.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.12,,ชั้น 4 | ห้องพัก,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 4,,,,,,CRA,,,
,,100B04-EE-EXL-4.FL-0003,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.13,,ชั้น 4 | ห้องประชุม,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 4,,,,,,CRA,,,
