AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
Groundfos,PN-SN A-96501698-10001178,100B01-SN-RHT-RF.FL-0001,N/A,,Return Heat Water Pump,,,,,,,,,Return hot water pump No.1,,ชั้น RF | ฝั่งทางหนีไฟ ST-5-Return hot water pump No.1,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น RF,,,,,,CRA,,,
Groundfos,A96500968P11319,100B01-SN-RHT-RF.FL-0002,N/A,,Return Heat Water Pump,,,,,,,,,Return hot water pump No.2,,ชั้น RF | ฝั่งทางหนีไฟ ST-6-Return hot water pump No.2,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น RF,,,,,,CRA,,,
Groundfos,50CDLF 16-20,100B01-SN-SLP-RF.FL-0001,N/A,,Solar Pump,,,,,,,,,Solar pump-3,,ชั้น RF | ฝั่งทางหนีไฟ ST-7-Solar pump-3,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น RF,,,,,,CRA,,,
Groundfos,50CDLF 16-20,100B01-SN-SLP-RF.FL-0002,N/A,,Solar Pump,,,,,,,,,Solar pump-4,,ชั้น RF | ฝั่งทางหนีไฟ ST-8-Solar pump-4,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น RF,,,,,,CRA,,,
N/A,N/A,100B03-EE-EAMCC-4.FL-0001,N/A,,EAMCC,,,,,,,,,EAMCC No.1,,ชั้น 4 | ห้องเครื่องจักร Chiller-EAMCC No.1,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
N/A,N/A,100B03-EE-EAMCC-4.FL-0002,N/A,,EAMCC,,,,,,,,,EAMCC No.2,,ชั้น 4 | ห้องเครื่องจักร Chiller-EAMCC No.2,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
N/A,N/A,100B02-EE-TRO-1.FL-0001,N/A,,Oil Transformer,,,,,,,,,Transformer No.1,,ชั้น 1 | ห้องไฟฟ้าอาคารที่พักลานจอด-Transformer No.1,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
N/A,N/A,100B02-EE-CAP-1.FL-0001,N/A,,Capacitor Bank,,,,,,,,,Capacitor Bank No.1,,ชั้น 1 | ห้องไฟฟ้าอาคารที่พักลานจอด-Capacitor Bank No.1,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
N/A,N/A,100B03-EE-EAMCC-4.FL-0001,N/A,,EAMCC,,,,,,,,,EAMCC No.1,,ชั้น 4 | ห้องเครื่องจักร Chiller-EAMCC No.1,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
N/A,N/A,100B03-EE-EAMCC-4.FL-0002,N/A,,EAMCC,,,,,,,,,EAMCC No.2,,ชั้น 4 | ห้องเครื่องจักร Chiller-EAMCC No.2,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-B1.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS CT Scan ,,ชั้น B1 | ห้องควบคุมระบบไฟฟ้า-UPS CT Scan ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-B1.FL-0002,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS MRI,,ชั้น B1 | ห้องควบคุมระบบไฟฟ้า-UPS MRI,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-B1.FL-0003,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Spect CT,,ชั้น B1 | แผนกเวชศาสตร์นิวเคลียร์-UPS Spect CT,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-B1.FL-0004,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Linac 2,,ชั้น B1 | -UPS Linac 2,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-B1.FL-0005,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Linac 3,,ชั้น B1 | ห้องควบคุมระบบไฟฟ้าข้างห้อง Work' Shop-UPS Linac 3,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-B1A.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Linac 1,,ชั้น B1A | ชั้นลอยฝั่งใต้เซเว่น-UPS Linac 1,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Riello,12MP 600HC/600kVA,100B03-EE-UPS-1.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Main Central ,,ชั้น 1 | ห้อง UPS-UPS Main Central ,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-4.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Intervention,,ชั้น 4 | -UPS Intervention,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 4,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-4.FL-0002,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS X-ray MRI,,ชั้น 4 | ห้องUPSทางเดินด้านหลังฝั่งติดคลอง-UPS X-ray MRI,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 4,,,,,,CRA,,,
SOCOMEC,ITYS PRO,100B01-EE-UPS-6A.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Operating Room (OR.1),,ชั้น 6A | ห้อง UPS-UPS Operating Room (OR.1),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
SOCOMEC,ITYS PRO,100B01-EE-UPS-6A.FL-0002,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Operating Room (OR.2),,ชั้น 6A | ห้อง UPS-UPS Operating Room (OR.2),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
SOCOMEC,ITYS PRO,100B01-EE-UPS-6A.FL-0003,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Operating Room (OR.3),,ชั้น 6A | ห้อง UPS-UPS Operating Room (OR.3),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
SOCOMEC,ITYS PRO,100B01-EE-UPS-6A.FL-0004,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Operating Room (OR.4),,ชั้น 6A | ห้อง UPS-UPS Operating Room (OR.4),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
SOCOMEC,ITYS PRO,100B01-EE-UPS-6A.FL-0005,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Operating Room (OR.5),,ชั้น 6A | ห้อง UPS-UPS Operating Room (OR.5),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
SOCOMEC,ITYS PRO,100B01-EE-UPS-6A.FL-0006,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Operating Room (OR.6),,ชั้น 6A | ห้อง UPS-UPS Operating Room (OR.6),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
Schneider,Easy UPS 3S,100B01-EE-UPS-6A.FL-0007,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Intensive Care Unit (ICU.Panel1),,ชั้น 6A | ห้อง UPS-UPS Intensive Care Unit (ICU.Panel1),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
Schneider,Easy UPS 3S,100B01-EE-UPS-6A.FL-0008,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS Intensive Care Unit (ICU.Panel2),,ชั้น 6A | ห้อง UPS-UPS Intensive Care Unit (ICU.Panel2),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-12.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS OR Ophthalmology,,ชั้น 12 | ห้อง UPS ทางเดินด้านหลังตรงข้ามห้องซักล้าง-UPS OR Ophthalmology,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 12,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-14.FL-0001,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS IVF Room (IVF.1),,ชั้น 14 | ห้องควบคุมระบบไฟฟ้าห้อง IVF-UPS IVF Room (IVF.1),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 14,,,,,,CRA,,,
N/A,N/A,100B01-EE-UPS-14.FL-0002,N/A,,Uninterruptible Power Supply,,,,,,,,,UPS IVF Room (IVF.2),,ชั้น 14 | ห้องควบคุมระบบไฟฟ้าห้อง IVF-UPS IVF Room (IVF.2),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 14,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0001,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Operating Room (OR.1),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Operating Room (OR.1),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0002,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Operating Room (OR.2),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Operating Room (OR.2),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0003,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Operating Room (OR.3),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Operating Room (OR.3),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0004,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Operating Room (OR.4),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Operating Room (OR.4),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0005,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Operating Room (OR.5),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Operating Room (OR.5),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0006,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Operating Room (OR.6),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Operating Room (OR.6),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0007,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Intensive Care Unit (ICU.Panel1),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Intensive Care Unit (ICU.Panel1),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-6A.FL-0008,N/A,,Isolate Panel,,,,,,,,,Isolate Panel Intensive Care Unit (ICU.Panel2),,ชั้น 6A | พื้นที่ชั้นลอย-Isolate Panel Intensive Care Unit (ICU.Panel2),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 6,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-14.FL-0001,N/A,,Isolate Panel,,,,,,,,,Isolate Panel IVF Room (IVF.1),,ชั้น 14 | ห้องควบคุมระบบไฟฟ้าห้อง IVF-Isolate Panel IVF Room (IVF.1),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 14,,,,,,CRA,,,
N/A,N/A,100B01-EE-ISP-14.FL-0002,N/A,,Isolate Panel,,,,,,,,,Isolate Panel IVF Room (IVF.2),,ชั้น 14 | ห้องควบคุมระบบไฟฟ้าห้อง IVF-Isolate Panel IVF Room (IVF.2),,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 14,,,,,,CRA,,,
