AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
Fire Killer,FK-15-HB,100B01-FP-FECA-B1.FL-0001,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.1,,ชั้น B1 | ห้อง CT Scan,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
-,-,100B01-FP-FECA-1.FL-0001,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.2,,ชั้น 1 | ห้องจ่ายยา,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 1,,,,,,CRA,,,
-,-,100B01-FP-FECA-1.FL-0002,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.3,,ชั้น 1 | ห้องจ่ายยา,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 1,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0001,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.4,,ชั้น 5 | ห้องแล็ปตรวจโควิด PCR,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
IMPACT,-,100B01-FP-FECA-5.FL-0002,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.5,,ชั้น 5 | ทางเดินห้องปฏิบัติการพยาธิ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
IMPACT,-,100B01-FP-FECA-5.FL-0003,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.6,,ชั้น 5 | ห้องตัดชิ้นเนื้อ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
IMPACT,-,100B01-FP-FECA-5.FL-0004,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.7,,ชั้น 5 | ห้องปฏิบัติการกลางพยาธิวิทยา,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
IMPACT,-,100B01-FP-FECA-5.FL-0005,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.8,,ชั้น 5 | ห้องปฏิบัติการกลางพยาธิวิทยา / ห้องเล็ก,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
IMPACT,-,100B01-FP-FECA-5.FL-0006,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.9,,ชั้น 5 | ห้องสำนักงาน,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
IMPACT,-,100B01-FP-FECA-5.FL-0007,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.10,,ชั้น 5 | ห้องวิจัยแพทย์,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0008,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.11,,ชั้น 5 | ทางเดินส่วนกลางแลปวิจัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0009,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.12,,ชั้น 5 | ทางเดินส่วนกลางแลปวิจัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0010,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.13,,ชั้น 5 | ห้องแลปวิจัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0011,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.14,,ชั้น 5 | ห้องแลปวิจัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0012,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.15,,ชั้น 5 | ห้องแลปวิจัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
-,-,100B01-FP-FECA-5.FL-0013,-,,Fire Extinguisher BF2000 /Halon / Halotron,,,,,,,,,Fire Extinguisher BF2000 No.16,,ชั้น 5 | ห้องแลปวิจัย,,,,,,,,,,,,,,,,,โรงพยาบาล 100B -ชั้น 5,,,,,,CRA,,,
