AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
Badger,B10V-1,100B01-FP-FECO-B1.FL-0001,-,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.1,,ชั้น B1 | ตู้ดับเพลิงหน้าลิฟต์ LP-9,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V-1,100B01-FP-FECO-B1.FL-0002,-,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.2,,ชั้น B1 | ตู้ดับเพลิงโถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V-1,100B01-FP-FECO-B1.FL-0003,H01506761,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.3,,ชั้น B1 | ตู้ดับเพลิงทางเดินหน้าห้อง CT Simulation,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V-1,100B01-FP-FECO-B1.FL-0004,H01506717,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.4,,ชั้น B1 | ตู้ดับเพลิงหน้าแผนกเวชศาสตร์นิวเคลียร์,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0005,AB-622241,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.5,,ชั้น B1 | ห้องผสมยาเวชศาสตร์นิวเคลียร์,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0006,-,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.6,,ชั้น B1 | ห้องฟิสิกส์ข้างห้อง MRI,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0007,AA-142875,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.7,,ชั้น B1 | ห้อง UPS ข้างห้อง CT Simulation,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0008,AA-142852,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.8,,ชั้น B1 | ห้อง UPS ข้างห้อง CT Simulation,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0009,AA-142848,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.9,,ชั้น B1 | หน้าห้อง Control Linac 1,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Buckeye,456 10 CD,100B01-FP-FECO-B1.FL-0010,AC-281012,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.10,,ชั้น B1 | หน้าห้อง Control Linac 2,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0011,AA-142849,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.11,,ชั้น B1 | หน้าห้องควบคุมการใส่แร่,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0012,-,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.12,,ชั้น B1 | หน้าห้องควบคุมการใส่แร่,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V-1,100B01-FP-FECO-B1.FL-0013,H01506768,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.13,,ชั้น B1 | หน้าห้อง Work Shop,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V,100B01-FP-FECO-B1.FL-0014,Z-907484,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.14,,ชั้น B1 | ห้องเครื่องสูบน้ำ,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น B1,,,,,,CRA,,,
Badger,B10V-1,100B01-FP-FECO-1.FL-0001,-,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.15,,ชั้น 1 | ตู้ดับเพลิงในโถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 1,,,,,,CRA,,,
Badger,B10V-1,100B01-FP-FECO-1.FL-0002,-,,Fire Extinguisher Carbon Dioxide,,,,,,,,,Fire Extinguisher Carbon Dioxide No.16,,ชั้น 1 | ตู้ดับเพลิงหน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,โรงพยาบาล 100B - ชั้น 1,,,,,,CRA,,,
