AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
CSJ,CSJR-06-B,100B02-FHC-1.FL-1-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-1-1,,ชั้น 1 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-1.FL-1-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-1-2,,ชั้น 1 | หน้าบันไดหนีไฟ 01FS2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-2.FL-1A-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-1A-1,,ชั้น 2 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-2.FL-1A-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-1A-2,,ชั้น 2 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-2A.FL-2A-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-2A-2,,ชั้น 2A | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-3.FL-2-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-2-1,,ชั้น 3 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-3.FL-2-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-2-2,,ชั้น 3 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-4.FL-3-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-3-1,,ชั้น 4 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-4.FL-3-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-3-2,,ชั้น 4 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-5.FL-4-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-4-1,,ชั้น 5 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 5,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-5.FL-4-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-4-2,,ชั้น 5 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 5,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-6.FL-5-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-5-1,,ชั้น 6 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 6,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-6.FL-5-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-5-2,,ชั้น 6 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 6,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-7.FL-6-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-6-1,,ชั้น 7 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 7,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-7.FL-6-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-6-2,,ชั้น 7 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 7,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-8.FL-7-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-7-1,,ชั้น 8 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 8,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-8.FL-7-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-7-2,,ชั้น 8 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 8,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-9.FL-8-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-8-1,,ชั้น 9 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 9,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-9.FL-8-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-8-2,,ชั้น 9 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 9,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-10.FL-9-1,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-9-1,,ชั้น 10 | โถงลิฟต์ดับเพลิง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 10,,,,,,CRA,,,
CSJ,CSJR-06-B,100B02-FHC-10.FL-9-2,,,Fire Hose Cabinet,,,,,,,,,Fire Hose Cabinet No. FHC-9-2,,ชั้น 10 | หน้าบันไดหนีไฟ ST-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 10,,,,,,CRA,,,
