AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
-,-,400B01-EE-AREA-B2.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-EE-AREA-B2.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-EE-AREA-B2.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-EE-AREA-B2.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-EE-AREA-B1.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-EE-AREA-B1.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-EE-AREA-B1.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-EE-AREA-B1.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-1.FL-0009,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-2.FL-0009,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 2,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-3.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 3,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0009,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-4.FL-0010,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 4,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0007,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0009,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0010,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0011,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0012,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-5.FL-0013,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 5,,,,,,CRA,,,
-,-,400B01-EE-AREA-6.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 6,,,,,,CRA,,,
-,-,400B01-EE-AREA-6.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 6,,,,,,CRA,,,
-,-,400B01-EE-AREA-6.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 6,,,,,,CRA,,,
-,-,400B01-EE-AREA-6.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 6,,,,,,CRA,,,
-,-,400B01-EE-AREA-6.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 6,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7,,,,,,CRA,,,
-,-,400B01-EE-AREA-7M.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 7M,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
-,-,400B01-EE-AREA-8.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 8,,,,,,CRA,,,
