AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
-,-,400B01-ME-ADR-B2.FL-0001,,,Automatic Door,,,,,,,,,,,ชั้น B2|-โถงลิฟท์ผู้ป่วย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-ME-ADR-B2.FL-0002,,,Automatic Door,,,,,,,,,,,ชั้น B2|-โถงลิฟท์โดยสาร,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-ME-ADR-B2.FL-0003,,,Automatic Door,,,,,,,,,,,ชั้น B2|-โถงลิฟท์โดยสาร,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-ME-ADR-B2.FL-0004,,,Automatic Door,,,,,,,,,,,ชั้น B2|-โถงลิฟท์ผู้ป่วย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B2,,,,,,CRA,,,
-,-,400B01-ME-ADR-B1.FL-0001,,,Automatic Door,,,,,,,,,,,ชั้น B1|-โถงลิฟท์ผู้ป่วย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-ME-ADR-B1.FL-0002,,,Automatic Door,,,,,,,,,,,ชั้น B1|-โถงลิฟท์โดยสาร,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-ME-ADR-B1.FL-0003,,,Automatic Door,,,,,,,,,,,ชั้น B1|-โถงลิฟท์โดยสาร,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-ME-ADR-B1.FL-0004,,,Automatic Door,,,,,,,,,,,ชั้น B1|-โถงลิฟท์ผู้ป่วย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น B1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0001,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงลิฟท์ผู้ป่วย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0002,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงลิฟท์โดยสาร,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0003,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงลิฟท์โดยสาร,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0004,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงลิฟท์ผู้ป่วย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0005,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงพักคอย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0006,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงพักคอย,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0007,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงพักคอย/เคาร์เตอร์พยาบาล,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0008,,,Automatic Door,,,,,,,,,,,ชั้น 1|-ส่วนพักคอย 1/เคาร์เตอร์พยาบาล,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0009,,,Automatic Door,,,,,,,,,,,ชั้น 1|-ส่วนพักคอย 2/เคาร์เตอร์พยาบาล,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0010,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงรับผู้ป่วยและสังเกตุอาการ,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0011,,,Automatic Door,,,,,,,,,,,ชั้น 1|-ทางเดินบริการ,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0012,,,Automatic Door,,,,,,,,,,,ชั้น 1|-พื้นที่เอนกประสงค์,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0013,,,Automatic Door,,,,,,,,,,,ชั้น 1|-ร้านค้าเวชภัณฑ์,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0014,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงพัดคอย (GENERAL X-RAY),,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0015,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0016,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงทางเดิน,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0017,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงทางเข้า,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0018,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงทางเข้า,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0019,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงทางเข้า,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0020,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงทางเข้า,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
-,-,400B01-ME-ADR-1.FL-0021,,,Automatic Door,,,,,,,,,,,ชั้น 1|-โถงกันอากาศ,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 1,,,,,,CRA,,,
